국가코드,DB종류,특허/실용 구분,문헌종류 코드,발명의 명칭,요약,대표청구항,청구항 수,출원번호,출원일,공개번호,공개일,등록번호,등록일,출원인,발명자,우선권 번호,우선권 국가,우선권 주장일,Original CPC Main,Original CPC All,Original IPC Main,Original IPC All,Original US Class Main,Original US Class All,Original FI[JP],Original F-term[JP],Original Theme Code [JP],WIPS ON key
US,US,P,B2,"Fingerprint identification system, fingerprint identification apparatus, fingerprint identification method, and biometric identification apparatus","In a fingerprint identification system, a fingerprint sensor 104 of a registration apparatus 2 reads a fingerprint in a larger region, whereas a fingerprint sensor 30 of an identification apparatus 4, which is smaller in size, reads a fingerprint in a smaller region. When registering a fingerprint, the fingerprint sensor 104 of the registration apparatus 2 reads a fingerprint, and a fingerprint registration circuit 14 generates binary image data based on the fingerprint which has been read. The binary image data is transferred to the identification apparatus 4 and stored in an image memory 16 of the identification apparatus 4. When identifying a fingerprint, the fingerprint sensor 30 of the identification apparatus 4 reads a fingerprint, and a fingerprint identification circuit 32 generates binary image data based on the fingerprint which has been read. Then, the binary image data is compared against the binary image data stored in the image memory 16.","1. A fingerprint identification system comprising: a timepiece unit; and a main unit, wherein said timepiece unit is swingably connected to said main unit through a hinge, said main unit comprising: a registration apparatus; and an identification apparatus, wherein both of said registration apparatus and said identification apparatus are covered by a bottom surface of said timepiece, said registration apparatus comprising: a first fingerprint sensor for reading a fingerprint in a first region of a human finger to output a first image signal representing an image of the fingerprint; first image data generating means for generating first image data of the fingerprint based on the first image signal output from said first fingerprint sensor; and data output means for outputting the first image data generated by said first image data generating means; said identification apparatus comprising: data input means for receiving the first image data output from said data output means; storage means for storing the first image data received by said data input means; a second fingerprint sensor for reading a fingerprint in a second region of a human finger, which is smaller than said first region, to output a second image signal representing an image of the fingerprint; second image data generating means for generating second image data of the fingerprint based on the second image signal output from said second fingerprint sensor; and image identification means for comparing the second image data generated by said second image data generating means against the first image data stored in said storage means to determine whether the fingerprints represented by the first and second image data, respectively, coincide with each other.",15,10/091294,3/6/02,2002-0126882,9/12/02,6980673,12/27/05,SONY CORPORATION,Takeshi Funahashi,2001-062859 | 2001-345719,JP | JP,2001-03-07 | 2001-11-12,,,G06K-009/00,G06K-009/00,382/124,382/124 | 340/005.83 | 902/003,,,,4.70505E+12
US,US,P,B1,Analysis of an object data set on a multi-dimensional space,"The method relates to analysis of a tubular structure 1 such as a rendition of the vascular system of a patient. Gradients g1j to the surface of the tubular structure 1 are computed in a starting point (BP). Subsequently, a normal {circumflex over (n)} which extends essentially perpendicularly to the gradients is derived and a cross-section is taken along a cutting plane having {circumflex over (n)} as its normal. A subsequent position (VP) is taken by performing a small shift in the direction of {circumflex over (n)}. The axis of the vessel is tracked by repeating the procedure.","1. A computer-implemented method of analyzing an object data set in which a tubular structure occurs, wherein said object data set assigns data values to positions in a multi-dimensional space, which data values relate to an object to be examined, a starting position is chosen in or near the tubular structure, gradients to the surface of the tubular structure are derived at the area of the starting position, a cutting plane is derived through the starting position so as to have a direction as parallel as possible to the gradients in positions to the surface of the tubular structure and in a vicinity of the starting position, and a cross-section of the tubular structure is derived along the cutting plane.",8,09/857266,9/27/00,,,6975973,12/13/05,"KONINKLIJKE PHILIPS ELECTRONICS, N.V.",Johannes Bruijns,1999-203207,EP,10/1/99,,,G06F-017/50,G06F-017/50 | G06T-007/00,703/002,703/002 | 703/006 | 382/254,,,,4.70505E+12
US,US,P,B1,Morphing patient features using an offset,"A method of displaying an image of at least a portion of a virtual patient including accessing identification of a video file, the video file comprising video data that depicts virtual patient features over a range of the features, determining an offset into the video file and presenting the video image corresponding to the offset.","1. A method of displaying a video image of at least a portion of a virtual patient, the method comprising: accessing a video file, the video file comprising a series of video images that depicts virtual patient features over a range of said features; determining an offset into the video file, the offset corresponding to one of the series of video images, the offset determined based on a relation of a determined current virtual patient state relative to the range of said features; and presenting the one of the series of video images corresponding to the offset.",16,09/603422,6/26/00,,,6972775,12/6/05,"MEDICAL LEARNING COMPANY, INC.",Karl Haakonsen,,,,,,G09G-005/00,G09G-005/00 | A61F-002/52 | G06K-009/00 | G06K-007/48,345/646,345/646 | 623/007 | 382/128 | 715/700 | 703/011,,,,4.70505E+12
US,US,P,B1,Transaction method and suitable device therefor,"A transaction method, a service center, and a device for carrying out the transaction method. In the transaction method object picture data relating to a transaction object, for example a product or a service, are made visible to a user, for instance by projecting image signals corresponding to the object picture data directly on the retina of the user. Eye features of the user are determined while the object picture data, made visible, are viewed by him/her, for example by the light being captured that is reflected by the retina owing to the projected image signals and retina patterns of the user being determined from the determined reflection data and the associated object picture data. The determined eye features with object data relating to the transaction object are linked in a transaction record and the transaction record is forwarded to a processing unit.","1. A transaction method in which object picture data relating to a transaction object are made visible to a user, in which eye features of the user are determined and in which the determined eye features are linked in a transaction record to object data relating to the transaction object and containing at least an object identification of the transaction object, and the transaction record is transmitted to a processing unit, wherein the eye features of the user are determined while the object picture data, made visible, is being viewed by the user.",17,10/031340,7/22/99,,,6973203,12/6/05,SWISSCOM MOBILE AG,Eric Lauper | Rudolf Ritter,,,,,,G06K-009/00,G06K-009/00,382/117,382/117 | 382/190 | 382/305 | 382/324 | 707/010 | 707/103.R | 713/186,,,,4.70505E+12
US,US,P,B1,"System for aiding to make medical care schedule, and program storage device readable by the system","A system for aiding to make a medical care schedule (1) is provided with a plurality of object files (21) respectively including (i) medical care data indicating either one of a plurality of types of medical care actions which are set in advance and (ii) setting order information to set at least relative execution timings as for the plurality of medical care actions, which compose one series of medical care schedule. The system is also provided with a process device (4) for setting, when the plurality of medical care actions composing one series of medical care schedule are designated, the at least relative execution timings of the designated plurality of medical care actions on a predetermined time axis, in accordance with the setting order information respectively included in the plurality of object files, which include the plurality of medical care data indicating the designated plurality of medical care actions. The system is further provided with a display device (5) for displaying a plurality of medical care data respectively indicating the plurality of medical care actions, the at least execution timings of which are set by the process device, in such a predetermined format that the medical care actions are respectively arranged in an order of the execution timings.","1. A system for aiding to make a medical care schedule by determining at least an execution order of a plurality of medical care actions which compose a treatment procedure sequence for a treatment of a particular patient, the system comprising: a plurality of object files set in advance, wherein the plurality of object files are divided into a plurality of data sets according to categories associated with diseases, wherein a different disease code is assigned to each of the data sets respectively, each object file including: (i) medical care data indicating one of a plurality of medical care actions set in advance, and (ii) setting order information indicating at least a position of execution of one of the plurality of medical care actions in relation to the plurality of other medical care actions; an input device for designating the plurality of medical care actions which compose the treatment procedure sequence for the treatment of the particular patient, wherein the input device is further adapted to designate a disease code and to identify a data set corresponding to the designated disease code; a process device for selecting a plurality of particular object files that respectively include the medical care data indicating the designated plurality of medical care actions from among the plurality of object files set in advance, and determining an execution order of the designated plurality of medical care actions in accordance with the position of execution of each of the designated plurality of medical care actions indicated by the setting order information of each of the selected plurality of particular object files and based on the plurality of object files included in the identified data set; and a display device for displaying the execution order of the designated plurality of medical care actions determined by the process device.",28,09/330094,6/11/99,,,6957187,10/18/05,KAMEDA MEDICAL INFORMATION LABORATORY,Toshitada Kameda,1998-210496,JP,7/27/98,,,G06F-017/60,G06F-017/60,705/003,705/003 | 705/002,,,,4.70504E+12
US,US,P,B2,Removable media recording station for the medical industry,"A removable medium recording station records medical image data in a format and removable medium that are widely accepted. The removable medium recording station can be used to effectively replace an installed storage device on an existing stand-alone medical image workstation. Storage onto removable media is transformed into an outboard operation. This transformation enables a hospital to migrate existing medical imaging systems to new formats and media without sacrificing a large portion of their initial investment. Additionally, the removable medium recording station can be attached as a peripheral on an existing medical modality network. In this capacity, the removable medium recording station enables an operator on the medical modality network to store medical images in a selected format and on a selected type of removable medium regardless of the proprietary format used by the enterprise level archive server. The removable medium recording station enables a hospital to add new functionality without sacrificing their investment in their enterprise solution.","1. A method for enabling a proprietary or standardized medical system to utilize new storage technology, the medical system having a medical scanner that scans a patient and creates medical image data and a computer workstation coupled to the medical scanner for analyzing the medical image data, the workstation utilizing at least one of standardized and proprietary storage technologies, the method comprising: attaching a peripheral-type removable medium recording station to the medical system, the recording station having a first storage device capable of initially storing medical image data received from the medical system on a nonremovable storage medium and a second storage device capable of storing medical image data on a first removable storage medium; receiving at the recording station, medical image data transmitted in a first format from the computer workstation; storing the medical image data on the nonremovable storage medium; converting the medical image data to a second format; and storing the converted data on the first removable storage medium, wherein the first format and the nonremovable storage medium are compatible with the technologies implemented by the medical system, and at least one of the second format and the first removable storage medium reflects new storage technology.",63,09/161753,9/29/98,2003-0105393,6/5/03,6954802,10/11/05,TDK ELECTRONICS CORPORATION,Michael Sutherland | Koyo Yokoi,,,,,,G06F-003/00,G06F-003/00,710/005,710/005 | 705/002 | 705/003 | 705/026 | 382/131,,,,4.70504E+12
US,US,P,B2,Cognitive state machine for prosthetic systems,"A prosthetic system may use a decoder to predict an intended action, such as a reach, from processed signals generated from measured neural activity. The decoder may included a cognitive state machine, which transitions between cognitive states based on transition rules.",1. A method comprising: receiving a processed signal generated from measured neural activity; transitioning between states in a state sequence in a cognitive state machine in response to said processed signal; and generating a command signal indicative of an intended movement corresponding to said state sequence.,50,10/193649,7/10/02,2003-0023319,1/30/03,6952687,10/4/05,CALIFORNIA INSTITUTE OF TECHNOLOGY,Richard A. Andersen | Bijan Pesaran | Partha Mitra | Daniella Meeker | Krishna V. Shenoy | Shiyan Cao | Joel W. Burdick,,,,,,G06F-015/18,G06F-015/18 | G06F-017/00,706/012,706/012 | 706/047 | 623/024 | 623/025,,,,4.70504E+12
US,US,P,B2,Configurable multi-function touchpad device,"A touchpad device comprised of a detection array having a detection surface, wherein the detection surface is configured to receive a fingerprint image. Additionally, a processing device is provided to receive the fingerprint image or image data from the detection array. The processing device configures the touchpad device to operate as a pointer control device or a fingerprint recognition device based upon parameters associated with the fingerprint image.","1. A touch pad device configurable to be a pointer control device and a fingerprint recognition device, the touchpad device comprising: a detection array having a detection surface, wherein the detection surface is configured to receive a fingerprint image; a processing device to receive image data from the detection array, the processing device further to configure the touchpad device to operate as the pointer control device to move a cursor or the fingerprint recognition device based upon parameters associated with the image data.",31,09/153782,9/16/98,2002-0054695,5/9/02,6950539,9/27/05,"DIGITAL PERSONA, INC.",Vance C. Bjorn | Serge J. Belongie,,,,,,G06K-009/00,G06K-009/00,382/124,382/124 | 382/115 | 345/157,,,,4.70504E+12
US,US,P,B2,Responsive manufacturing and inventory control,"A medical device production and supply information management system synchronous with manufacturing, planning and scheduling, product consumption forecast, and component purchase to enable just-in-time inventory control at the manufacturing facility, vendor stocks, material/product tracking, distribution and shipping management to thereby reduce inventory at all points in the product manufacturing, distribution/delivery chain. The system is implemented using a preferably Web enabled information network and data communications with a programmer. The programmer provides access to product information, specification and related data for implanted medical devices from which build-to-order and build-to-replenish commands are issued to the manufacturing center. The system is interactive within the consumption management system that is integrally and seamlessly connected with patients, hospitals, sales offices and related information hubs including manufacturing facilities. The invention enables management of inventory levels of medical devices through the interactive information management system by accurately accounting for inventory stored in sales offices, distributors and sales representatives, as well as implanting institutions to ensure that all centers have appropriate and adequate stock that is replaced on just-in-time basis under the build-to-replenish scheme.","1. A medical device inventory and production control system comprising: a Web-enabled information network in data communications with a medical device manufacturing control system and a consumption hub; at least one programmer in a bi-directional telemetric data communication with the Web-enabled information network; and at least one implantable medical device taken out of an inventory of the consumption hub, the medical device having a data set communicated via the medical device programmer through the Web-enabled information network to the medical device manufacturing control system which initiates a build to order process based upon the data communicated from the medical device programmer to replace the inventory of the consumption hub depleted by the at least one implantable medical device taken out of the inventory of the consumption hub.",1,09/775281,2/1/01,2003-0061123,3/27/03,6925447,8/2/05,"MEDTRONIC, INC.",James L. McMenimen | Christopher J. Campbell | Barbara K. Ruble | Willa M. Fabian | Larry G. Clark | David L. Thompson,,,,,,G06F-017/60,G06F-017/60,705/028,705/028 | 705/022,,,,4.70503E+12
US,US,P,B2,Neural prosthetic using temporal structure in the local field potential,"In an embodiment, neural activity of a subject may be measured with an implant in the sensory motor cortex of the subject and used to predict an intended movement. The measured neural activity may be the local field potential (LFP) at an electrode or single unit (SU) activity. The spectral structure of the LFP and the SU activity may be estimated using spectral analysis techniques. The estimated LFP and SU responses may be used to predict and intended movement by the subject.",1. A method comprising: measuring a local field potential response from neural activity in a subject; estimating a temporal structure of the measured local field potential response; and generating a signal indicative of an intended movement in response to the estimated temporal structure of said measured local field potential response.,33,10/304343,11/25/02,2003-0078522,4/24/03,6920351,7/19/05,California Institute of Technology,Partha Mitra | Bijan Pesaran | Richard A. Andersen,,,,,,A61B-005/04,A61B-005/04,600/544,600/544 | 600/545,,,,4.70503E+12
