"국가코드","DB종류","특허/실용 구분","문헌종류 코드","발명의 명칭","요약","대표청구항","청구항 수","출원번호","출원일","공개번호","공개일","등록번호","등록일","출원인","발명자","우선권 번호","우선권 국가","우선권 주장일","Original CPC Main","Original CPC All","Original IPC Main","Original IPC All","Original US Class Main","Original US Class All","Original FI[JP]","Original F-term[JP]","Original Theme Code [JP]","WIPS ON key"
"US","US","P","B2","Combining data sources to provide accurate effort monitoring","By combining data from different sensors (on fitness device, mobile smartphone, smart clothing, other devices or people in same location), an intelligent system provides a better indicator of an individual's physical effort, using rich data sources to enhance quantified metrics such as distance/pace/altitude gain, to provide a clearer picture of an individual's exercise and activity.","1. A device comprising: at least one computer readable storage medium bearing instructions executable by a processor;at least one processor configured for accessing the computer readable storage medium to execute the instructions to configure the processor for:receiving signals from a position sensor from which the processor can calculate a speed and a distance over an interval of time ΔT;receiving at least one signal representing at least one biometric condition of a user of the device;adjusting a baseline value associated with the speed and/or distance based at least in part on the biometric condition to render an adjusted baseline; andoutputting an indicia of exercise effort based at least in part on the adjusted baseline.","20","14/255663","2014-04-17","2015-0081056","2015-03-19","9224311","2015-12-29","Sony Corporation","Sabrina Tai-Chen  Yeh | Jenny Therese  Fredriksson","","","","G09B-0019/0038","G09B-0019/0038 | A61B-0005/021 | A61B-0005/02055 | A61B-0005/02438 | A61B-0005/4815 | A63B-0071/06 | G01C-0021/00 | G01C-0021/20 | G01S-0019/19 | G06F-0003/017 | G06F-0003/0481 | G06F-0003/0484 | G06F-0003/165 | G06F-0017/3074 | G06F-0019/3481 | G06Q-0010/0639 | G08B-0025/016 | G10L-0015/00 | H04B-0005/0025 | H04L-0063/0853 | H04W-0004/008 | H04W-0012/08 | A61B-0005/11 | A61B-0005/1172 | A61B-0005/1176 | A61B-0005/14532 | A61B-0005/14542 | H04M-0001/7253 | H04M-2250/02 | H04M-2250/04 | H04M-2250/12","A63B-071/00","A63B-071/00 | G09B-019/00 | G01S-019/19 | G06F-019/00 | G06Q-010/06 | A61B-005/0205 | A61B-005/021 | A61B-005/024 | A61B-005/00 | A63B-071/06 | G06F-017/30 | G06F-003/16 | H04B-005/00 | G01C-021/20 | G06F-003/01 | G08B-025/01 | G10L-015/00 | G01C-021/00 | G06F-003/0481 | G06F-003/0484 | H04L-029/06 | H04W-004/00 | H04W-012/08 | A61B-005/11 | H04M-001/725 | A61B-005/117 | A61B-005/145","","","","","","4915054004647"
"US","US","P","B2","Individualized orthodontic treatment index","Embodiments are provided for using an individualized orthodontic treatment index. One method embodiment includes receiving an initial virtual dental model from a first scan of a patient's dentition, modifying the initial virtual dental model to create a target virtual dental model according to a treatment goal, assigning a number of dental references to the target virtual dental model, receiving a treatment outcome virtual dental model from a second scan of the patient's dentition, mapping the number of dental references from the target virtual dental model to a treatment outcome virtual dental model, and calculating an individualized treatment index score for the treatment outcome virtual dental model according to one or more differences between the target virtual dental model and the treatment outcome virtual dental model based on the number of dental references.","1. A computing device implemented method of using an individualized orthodontic treatment index, comprising: receiving an initial virtual dental model from a first scan of a patient'ss dentition;modifying the initial virtual dental model to create a target virtual dental model according to a limited treatment target goal of a dentition that is not ideal with respect to an ideal dentition defined according to a non-individualized treatment index;assigning a number of dental references to the target virtual dental model;receiving a treatment outcome virtual dental model from a second scan of the patient'ss dentition;mapping the number of dental references from the target virtual dental model to the treatment outcome virtual dental model; andcalculating an individualized treatment index score for the treatment outcome virtual dental model according to one or more differences between the target virtual dental model and the treatment outcome virtual dental model based on the mapped number of dental references, wherein the individualized treatment index score characterizes the treatment outcome virtual dental model relative to the limited treatment target goal;wherein the method is performed by the computing device.","22","12/771472","2010-04-30","2011-0270588","2011-11-03","9211166","2015-12-15","ALIGN TECHNOLOGY, INC.","Eric E.  Kuo | Vadim  Matov | Larry  Lai | Fuming  Wu | Jihua  Cheng","","","","A61C-0007/00","A61C-0007/00 | A61B-0005/1128 | A61B-0005/7246 | A61C-0007/002 | G06F-0003/041 | G06F-0017/5009 | G06F-0019/3437 | G06F-0019/707 | G06F-0019/321 | G06F-0019/3481","G06G-007/48","G06G-007/48 | A61C-007/00 | G06F-017/50 | A61B-005/11 | A61B-005/00 | G06F-019/00 | G06F-003/041","","","","","","4915052000899"
"US","US","P","B2","Apparatus, method, and computer readable medium for recognizing text on a curved surface","A device and method are provided for recognizing text on a curved surface. In one implementation, the device comprises an image sensor configured to capture from an environment of a user multiple images of text on a curved surface. The device also comprises at least one processor device. The at least one processor device is configured to receive a first image of a first perspective of text on the curved surface, receive a second image of a second perspective of the text on the curved surface, perform optical character recognition on at least parts of each of the first image and the second image, combine results of the optical character recognition on the first image and on the second image, and provide the user with a recognized representation of the text, including a recognized representation of the first portion of text.","1. An apparatus for recognizing text on a surface, the apparatus comprising: an image sensor configured to capture images from an environment of a user; andat least one processor device configured to: identify the surface is a curved surface based on at least one of the images;determine that text is found on the identified curved surface;receive a first image of a first perspective of text on the curved surface, wherein the first image includes a first portion of text on the curved surface, the first portion of text including skewed characters that are unrecognizable in an optical character recognition process due to a curvature of the first portion of text on the curved surface viewed from the first perspective, and wherein the first image includes a second portion of text recognizable in the optical character recognition process;receive a second image of a second perspective of the text on the curved surface, wherein the second image includes the first portion of text in a form capable of recognition in the optical character recognition process;perform optical character recognition on the second portion of text in the first image and the first portion of text in the second image;combine results of the optical character recognition on the second portion of text in the first image and on the first portion of text in the second image; andprovide the user with a recognized representation of the text, including a recognized representation of the second portion of text in the first image and the first portion of text in the second image.","24","14/136545","2013-12-20","2014-0267647","2014-09-18","9213911","2015-12-15","ORCAM TECHNOLOGIES LTD.","Yonatan  Wexler | Amnon  Shashua","","","","G06K-0009/3275","G06K-0009/3275 | A61F-0009/08 | G06F-0003/011 | G06F-0003/16 | G06F-0017/2765 | G06K-0009/00221 | G06K-0009/00288 | G06K-0009/00442 | G06K-0009/00463 | G06K-0009/00469 | G06K-0009/00483 | G06K-0009/00671 | G06K-0009/2081 | G06K-0009/22 | G06K-0009/325 | G06K-0009/3233 | G06K-0009/3241 | G06K-0009/3283 | G06K-0009/74 | G08B-0003/10 | G08B-0006/00 | G09B-0021/00 | G09B-0021/001 | G09B-0021/003 | G09B-0021/006 | G10L-0013/043 | H04N-0005/2251 | H04N-0005/2252 | H04N-0005/23229 | H04N-0005/23232 | G01B-0011/24 | G02C-0011/10 | G06K-0009/00852 | G06K-0009/30 | G06K-2009/00489 | G06K-2009/2045 | G06T-0007/0051","G06K-009/32","G06K-009/32 | G06K-009/22 | G06K-009/00 | H04N-005/225 | G06F-003/16 | G06F-003/01 | G10L-013/04 | G08B-006/00 | A61F-009/08 | G06F-017/27 | G09B-021/00 | G08B-003/10 | G06K-009/74 | G06K-009/20 | H04N-005/232 | G06T-007/00 | G06K-009/30 | G01B-011/24 | G02C-011/00","","","","","","4915052003627"
"US","US","P","B2","Sporadic collection of mobile affect data","A user may react to an interaction by exhibiting a mental state. A camera or other monitoring device can be used to capture one or more manifestations of the user's mental state, such as facial expressions, electrodermal activity, or movements. However, there may be conditions where the monitoring device is not able to detect the manifestation continually. Thus, various capabilities and implementations are described where the mental state data is collected on an intermittent basis, analyzed, and an output rendered based on the analysis of the mental state data.","1. A computer-implemented method for mental state analysis comprising: collecting mental state data of an individual on an intermittent basis;collecting other mental state data, including electrodermal activity data, from the individual on a continuous basis;obtaining analysis of the mental state data on the individual, as a result of sending a request to a web service for the analysis where the analysis of the mental state data is received from the web service;interpolating, using one or more processors, mental state analysis in between the collecting which is intermittent;imputing additional mental state data where the mental state data is missing;filtering out faces of one or more other people to determine when an individual is looking in a direction of a camera;determining contextual information based on accelerometer data; andrendering an output based on the analysis of the mental state data.","22","14/064136","2013-10-26","2014-0051047","2014-02-20","9204836","2015-12-08","AFFECTIVA, INC.","Daniel  Bender | Rana  el Kaliouby | Evan  Kodra | Oliver Ernst  Nowak | Richard Scott  Sadowsky","","","","A61B-0005/165","A61B-0005/165 | A61B-0005/0022 | G06F-0019/3418 | G06F-0019/3481 | A61B-0005/0077 | A61B-0005/02055 | A61B-0005/02405 | A61B-0005/0531 | A61B-0005/0533 | A61B-0005/08 | A61B-0005/11 | A61B-0005/6898 | A61B-0005/72 | G06Q-0030/0271","G06K-009/00","G06K-009/00 | A61B-005/16 | G06F-019/00 | A61B-005/053 | A61B-005/00 | A61B-005/0205 | A61B-005/024 | A61B-005/08 | A61B-005/11 | G06Q-030/02","","","","","","4915051000787"
"US","US","P","B2","System and method for image segmentation in generating computer models of a joint to undergo arthroplasty","A custom arthroplasty guide and a method of manufacturing such a guide are disclosed herein. The method of manufacturing the custom arthroplasty guide includes: a) generating medical imaging slices of the portion of the patient bone; b) identifying landmarks on bone boundaries in the medical imaging slices; c) providing model data including image data associated with a bone other than the patient bone; d) adjusting the model data to match the landmarks; e) using the adjusted model data to generate a three dimensional computer model of the portion of the patient bone; f) using the three dimensional computer model to generate design data associated with the custom arthroplasty guide; and g) using the design data in manufacturing the custom arthroplasty guide.","1. A method of generating design data associated with a custom arthroplasty guide, the method comprising: receiving patient data associated with a portion of a patient bone having a surface contour of an arthroplasty target area, the patient data captured using a medical imaging system;generating a model of the portion of the patient bone from golden bone data that has been modified using the patient data, the golden bone data being associated with an exemplary bone other than the patient bone; andgenerating arthroplasty guide design data from the model using a processor, the arthroplasty guide design data including a mating region having a surface contour that is generally a negative of the surface contour of the arthroplasty target area such that the surface contour of the mating region is configured to matingly receive the surface contour of the arthroplasty target area in a generally matching or interdigitating manner.","27","13/731697","2012-12-31","2013-0197687","2013-08-01","9208263","2015-12-08","HOWMEDICA OSTEONICS CORPORATION","Elena  Pavlovskaia | Oleg  Mishin | Boris E.  Shpungin","","","","G06F-0017/50","G06F-0017/50 | A61B-0019/50 | G06K-0009/48 | G06T-0007/0083 | G06T-0017/00 | A61B-0017/155 | A61B-0017/157 | A61B-2019/508 | G06K-2009/484 | G06K-2209/055 | G06T-2200/08 | G06T-2207/30008 | Y10T-0029/49826","G06F-017/50","G06F-017/50 | A61B-019/00 | G06K-009/48 | G06T-007/00 | G06T-017/00 | A61B-017/15","","","","","","4915051004193"
"US","US","P","B2","System and method for remote tele-health services","A tele-health services cabin includes a plurality of vital signs monitoring devices, a cabin management unit, and videoconferencing hardware via which a remote practitioner in a remote medical call center videoconferences with a patient in the cabin to diagnose symptoms of the patient. The cabin management unit includes a processor that controls the cabin, a data input at which patient data is provided from the vital signs monitoring devices, and a transmitter connectable to a communication link for bi-directional communication between the cabin management unit and the medical call center, where the transmitter transmits the patient data to the medical call center. The tele-health services cabin may include a patient chair including a motorized seat back and at least one sensor encapsulated in the seat back. The tele-health services cabin may include a hands-free medical device station. The tele-health services cabin may include an automatic cleaning system.","1. A tele-health services cabin comprising: a patient chair comprising: a motorized seat back,a plurality of stethoscope sensors encapsulated in the seat back;a switch matrix connected to the plurality of stethoscope sensors;a block having a plurality of openings and configured to shield the plurality of stethoscope sensors from interference, wherein each of the plurality of stethoscope sensors is disposed proximate to an opening of the plurality of openings so as to detect audio signals from a patient'ss back through the opening;a processor that communicates with a remote medical call center via a bi-directional communication link, wherein the processor carries out steps comprising: under the control of a remote practitioner at a remote medical call center, activating, via the switch matrix, at least one stethoscope sensor of the plurality of stethoscope sensors;receiving audio signals from the activated stethoscope sensor;transmitting the audio signals over the communication link to the remote medical call center, wherein remote practitioner accesses the audio signals; andvideoconferencing hardware via which the remote practitioner in the medical call center videoconferences with the patient in the cabin to diagnose symptoms of the patient.","6","14/098223","2013-12-05","2014-0095196","2014-04-03","9208287","2015-12-08","VIDEOKALL, INC.","Vincent  Waterson | David  Sturgess","","","","G06F-0019/3418","G06F-0019/3418 | G06F-0019/3425 | G06F-0019/366 | G06Q-0010/10 | G06F-0019/3456 | G06Q-0050/22","A61B-005/00","A61B-005/00 | A61B-007/00 | A61B-007/04 | G06F-019/00 | G06Q-010/10 | G06Q-050/22","","","","","","4915051004217"
"US","US","P","B2","Hearing assistance device with brain computer interface","The present disclosure relates to communication devices. Such devices may comprise input for receiving sound signal to be processed and presented to a user, and output for outputting the processed signal to a user perceivable as sound. Such processing may be performed by use of a processor for processing the sound signal in dependence of a setting or a set of setting to compensate a hearing loss profile. Further, the communication device may comprise a bio-signal acquisition and amplifier component in communication with a user interface for providing the bio-signals as input to the user interface, the user interface controlling the setting or set of setting for operation of the communication device.","1. A communication device, comprising: an input for receiving a sound signal to be processed and presented to a user, and an output for outputting a signal to the user perceivable as sound;a processor for processing the sound signal in dependence of a setting or a set of settings to compensate a hearing loss profile; anda bio-signal acquisition and amplifier component in communication with the processor for providing the bio-signals as input to the processor, the processor controlling the setting or set of setting for operation of the communication device, wherein the bio-signal amplifier and acquisition component includes a wearable camera for eye-tracking.","18","14/303844","2014-06-13","2014-0369537","2014-12-18","9210517","2015-12-08","OTICON A/S","Niels Henrik  Pontoppidan | Thomas  Lunner | Michael Syskind  Pedersen | Lars Ivar  Hauschultz | Povl  Koch | Graham  Naylor | Eline Borch  Petersen","2013-172066","EP","2013-06-14","H04R-0025/00","H04R-0025/00 | A61B-0005/0478 | A61B-0005/04845 | A61B-0005/6817 | G06F-0003/013 | G06F-0003/015 | G06K-0009/00604 | H04R-0025/505 | A61B-0005/048 | A61B-0005/0482 | A61B-0005/121 | A61B-0005/6868 | H04R-0025/40 | H04R-0025/453 | H04R-0025/552 | H04R-0025/70 | H04R-2225/41 | H04R-2225/43 | H04R-2225/61","H04R-025/00","H04R-025/00 | A61B-005/0478 | A61B-005/0484 | G06F-003/01 | G06K-009/00 | A61B-005/00 | A61B-005/048 | A61B-005/0482 | A61B-005/12","","","","","","4915051006426"
"US","US","P","B2","Patient-matched apparatus and methods for performing surgical procedures","A system and method for developing customized apparatus for use in one or more surgical procedures is disclosed. The system and method incorporates a patient's unique anatomical features or morphology. According to a preferred embodiment, the customized apparatus comprises a plurality of complementary surfaces. Thus, each apparatus may be matched and oriented around the patient's own anatomy, and may further provide any desired axial alignments or insertional trajectories. In an alternate embodiment, the apparatus may further be aligned and/or matched with at least one other apparatus used during the surgical procedure.","1. A surgical device for use in a minimally invasive surgical procedure, comprising: two or more guides each having a proximal and a distal end, the distal ends each comprising patient-contacting surfaces configured to anatomically mate with and are determined from corresponding subcutaneous anatomical features of a patient;a coupling member selectively attachable to the proximal ends of a plurality of the two or more guides, thereby forming a medial portion of the surgical device;wherein the proximal ends of the two or more guides extend outside of the patient and wherein the coupling member is configured to be selectively attached to at least a first guide and a second guide outside of the patient;wherein the distal ends of the at least a first and second guides of the surgical device are configured to contact the corresponding subcutaneous anatomical features to ensure proper alignment and placement of the surgical device; andwherein the two or more guides, when coupled with the coupling member, are oriented in a pre-determined direction.","19","14/298634","2014-06-06","2014-0350614","2014-11-27","9198678","2015-12-01","George Frey | Benjamin Majors | Charles O'Neil | Geoff Lai | Russ Rydin","George  Frey | Benjamin  Majors | Charles  O'Neil | Geoff  Lai | Russ  Rydin","","","","A61B-0017/1757","A61B-0017/1757 | A61B-0005/05 | A61B-0017/15 | A61B-0017/151 | A61B-0017/70 | A61B-0017/7047 | A61B-0017/8863 | A61B-0019/0271 | A61B-0019/50 | A61F-0002/4611 | G06F-0017/50 | G09B-0023/30 | A61B-0017/1671 | A61B-2017/568 | A61B-2019/0278 | A61B-2019/508 | A61F-0002/30965 | A61F-0002/4405 | A61F-2002/3095 | A61F-2002/30952 | A61F-2002/4687 | A61F-2310/00017 | A61F-2310/00023 | A61F-2310/00029 | A61F-2310/00047 | A61F-2310/00059","A61B-017/58","A61B-017/58 | A61B-017/17 | A61B-005/05 | A61B-017/15 | A61B-017/70 | A61B-017/88 | A61B-019/02 | A61B-019/00 | A61F-002/46 | G06F-017/50 | G09B-023/30 | A61B-017/16 | A61B-017/56 | A61F-002/30 | A61F-002/44","","","","","","4915050000895"
"US","US","P","B2","Method and apparatus for diagnosis and treatment","Method and apparatus for performing multiple measurements and diagnoses simultaneously, in terms of body function, include a data processing element, a data acquisition module, an optional treatment output module, a user control module, and a user display system, where the data acquisition module sends a plurality of measurement data simultaneously, in terms of body functions, to the data processing element. The processing element provides a plurality of outputs which can be made available to the user or combined in the diagnostic module. A treatment algorithm in the treatment module can affect the patient through a feedback mechanism. In response, the data processing element generates treatment information needed by the treatment output module.","1. A treatment apparatus for effecting treatments, comprising: a treatment module connected to a feedback module, wherein the feedback module receives sensor information from the one or more sensors that sense conditions prevailing in a medium and uses the sensor information to transmit one or more control signals to an electrical stimulator module for generating one or more output signals, wherein: the one or more output signals, when performing drug delivery, controls the release of a first substance in the medium in response to receiving a first output signal from the one or more output signals and controls the release of a second substance in the medium in response to receiving a second output signal from the one or more output signals, wherein the one or more output signals are synchronized;the one or more control signals directs the electrical stimulator module to generate one or more output signals that have one or more controllable waveforms based on electrical signal parameters for placement on one or more output terminals; andthe feedback module automatically adjusts the one or more control signals in response to receiving updated sensor information, wherein the adjusted control signals direct the electrical stimulator module to adjust at least one of the electrical signal parameters that include any of amplitude, frequency, shape, timing parameters, phase, pulse duration, and pulse repetition rate, wherein the generated and adjusted output signals are placed on a bus, and wherein a selection module selects as an output signal one of the plurality of generated and adjusted output signals on the bus for availability by the one or more output terminals.","8","13/475833","2012-05-18","2012-0296176","2012-11-22","9199076","2015-12-01","INNOVATIONS HOLDINGS, L.L.C.","Ewa  Herbst","","","","A61N-0001/08","A61N-0001/08 | A61N-0001/37241 | G06F-0019/3406 | A61B-0005/00 | A61N-0001/36014 | A61N-0001/37252","A61B-005/11","A61B-005/11 | A61B-005/113 | A61N-001/36 | G06F-017/00 | A61N-001/08 | G06F-019/00 | A61B-005/00 | A61N-001/372","","","","","","4915050001290"
"US","US","P","B2","Fitness monitoring device with user engagement metric functionality","Methods, apparatuses, and systems are provided for determining a level of user engagement with a fitness monitoring device and, when a level of engagement metric for the fitness monitoring device for a person meets certain criteria, encouraging user engagement with the fitness monitoring device.","1. A system comprising: one or more processors;a memory;a first biometric sensor; anda notification mechanism configured to provide one or more notifications, wherein: the first biometric sensor is configured to measure one or more fitness parameters of a first person,the first biometric sensor, the notification mechanism, the one or more processors, and the memory are communicatively connected, and the memory stores instructions that, when executed by the one or more processors, configure the one or more processors to:determine that user engagements by the first person with the first biometric sensor have occurred on multiple occasions, wherein each user engagement produces at least one measurement of a fitness parameter using the first biometric sensor;determine a level of engagement metric for the first person based, at least in part, on the multiple user engagements with the first biometric sensor and the first person'ss frequency of user engagement with the first biometric sensor; andfrom the level of engagement metric, generate, using the notification mechanism, a notification containing information designed to encourage the first person to more frequently engage with the first biometric sensor and/or maintain a level of engagement with the first biometric sensor.","16","14/497177","2014-09-25","2015-0018991","2015-01-15","9202111","2015-12-01","FITBIT, INC.","Jacob Antony  Arnold | Jung Ook  Hong | Shelten Gee Jao  Yuen","","","","G06K-0009/00342","G06K-0009/00342 | A63B-0071/06 | G01G-0019/44 | G01G-0019/50 | G01G-0023/3728 | G06F-0003/0412 | G06F-0019/3406 | G06F-0019/3418 | G06F-0019/3431 | G06F-0019/3475 | G06F-0019/3481 | G06F-0021/32 | G06Q-0050/22 | G09B-0005/00 | A63B-2220/803 | A63B-2225/50 | A63B-2230/75 | Y10S-0128/92","G06K-009/00","G06K-009/00 | A63B-071/00 | G06F-019/00 | A63B-071/06 | G01G-019/44 | G01G-019/50 | G01G-023/37 | G06F-003/041 | G06F-021/32 | G06Q-050/22 | G09B-005/00 | A61B-005/00","","","","","","4915050004308"
